published_date,NEGATIVE,POSITIVE
2022-03-12,2,3
2022-03-13,1,3
2022-03-14,5,5
2022-03-15,2,5
2022-03-16,5,13
2022-03-17,3,5
2022-03-18,9,7
2022-03-19,5,7
2022-03-20,1,3
2022-03-21,6,6
2022-03-22,3,0
2022-03-23,0,1
2022-03-24,1,2
2022-03-25,1,2
2022-03-26,0,2
2022-03-27,0,2
2022-03-28,1,2
2022-03-29,0,1
2022-03-30,1,7
2022-03-31,7,4
2022-04-01,2,0
2022-04-02,1,4
2022-04-03,0,2
2022-04-04,1,0
2022-04-05,1,1
2022-04-06,3,1
2022-04-07,0,2
2022-04-08,6,10
2022-04-09,1,1
2022-04-11,6,3
2022-04-12,3,2
2022-04-13,7,8
2022-04-14,3,0
2022-04-15,3,3
2022-04-16,2,3
2022-04-17,2,2
2022-04-18,2,0
2022-04-19,2,1
2022-04-20,2,5
2022-04-21,7,2
2022-04-22,1,0
2022-04-23,2,0
2022-04-24,0,2
2022-04-25,4,2
2022-04-26,3,6
2022-04-27,5,5
2022-04-28,2,4
2022-04-29,3,1
2022-04-30,3,2
2022-05-01,0,3
2022-05-02,1,1
2022-05-03,5,2
2022-05-04,5,5
2022-05-05,2,2
2022-05-06,2,8
2022-05-07,3,2
2022-05-08,1,2
2022-05-09,2,2
2022-05-10,5,1
2022-05-11,2,1
2022-05-12,4,1
2022-05-13,5,1
2022-05-14,7,1
2022-05-15,4,1
2022-05-16,2,2
2022-05-17,2,4
2022-05-18,3,4
2022-05-19,9,6
2022-05-20,11,3
2022-05-21,7,0
2022-05-22,14,2
2022-05-23,4,8
2022-05-24,15,1
2022-05-25,10,10
2022-05-26,5,3
2022-05-27,7,3
2022-05-28,3,3
2022-05-29,3,5
2022-05-30,11,2
2022-05-31,6,2
2022-06-01,3,1
2022-06-02,6,0
2022-06-03,5,2
2022-06-04,5,1
2022-06-05,6,3
2022-06-06,9,4
2022-06-07,8,5
2022-06-08,20,3
2022-06-09,23,4
2022-06-10,11,11
2022-06-11,16,6
2022-06-12,12,4
2022-06-13,14,1
2022-06-14,10,3
2022-06-15,14,1
2022-06-16,22,5
2022-06-17,18,9
2022-06-18,15,9
2022-06-19,16,5
2022-06-20,47,9
2022-06-21,55,17
2022-06-22,58,18
2022-06-23,35,18
2022-06-24,35,11
2022-06-25,26,9
2022-06-26,14,5
2022-06-27,27,12
2022-06-28,17,16
2022-06-29,23,10
2022-06-30,17,9
2022-07-01,23,12
2022-07-02,19,4
2022-07-03,6,5
2022-07-04,6,8
2022-07-05,13,6
2022-07-06,13,10
2022-07-07,5,7
2022-07-08,5,5
2022-07-09,7,5
2022-07-10,9,1
2022-07-11,8,3
2022-07-12,13,4
2022-07-13,7,3
2022-07-14,17,2
2022-07-15,15,3
2022-07-16,7,7
2022-07-17,9,0
2022-07-18,2,4
2022-07-19,11,4
2022-07-20,14,5
2022-07-21,14,7
2022-07-22,11,3
2022-07-23,18,3
2022-07-24,5,2
2022-07-25,10,5
2022-07-26,21,5
2022-07-27,33,7
2022-07-28,32,5
2022-07-29,18,8
2022-07-30,8,7
2022-07-31,4,2
2022-08-01,11,4
2022-08-02,9,3
2022-08-03,7,2
2022-08-04,7,2
2022-08-05,11,3
2022-08-06,11,1
2022-08-07,2,2
2022-08-08,6,4
2022-08-09,11,6
2022-08-10,21,1
2022-08-11,19,2
2022-08-12,16,4
2022-08-13,17,3
2022-08-14,5,3
2022-08-15,7,2
2022-08-16,15,7
2022-08-17,12,6
2022-08-18,22,6
2022-08-19,17,7
2022-08-20,12,5
2022-08-21,6,2
2022-08-22,19,11
2022-08-23,30,8
2022-08-24,17,8
2022-08-25,25,10
2022-08-26,22,8
2022-08-27,12,4
2022-08-28,13,9
2022-08-29,15,11
2022-08-30,19,8
2022-08-31,13,6
2022-09-01,18,8
2022-09-02,19,13
2022-09-03,10,7
2022-09-04,3,3
2022-09-05,3,12
2022-09-06,7,13
2022-09-07,8,5
2022-09-08,11,18
2022-09-09,3,9
2022-09-10,3,2
2022-09-11,0,2
2022-09-12,3,2
2022-09-13,3,3
2022-09-14,7,2
2022-09-15,5,6
2022-09-16,9,0
2022-09-17,14,1
2022-09-18,2,6
2022-09-19,3,4
2022-09-20,6,8
2022-09-21,14,4
2022-09-22,7,3
2022-09-23,25,14
2022-09-24,10,4
2022-09-25,4,6
2022-09-26,5,10
2022-09-27,5,6
2022-09-28,11,3
2022-09-29,6,6
2022-09-30,4,11
2022-10-01,12,10
2022-10-02,6,7
2022-10-03,4,1
2022-10-04,4,11
2022-10-05,10,6
2022-10-06,15,6
2022-10-07,6,8
2022-10-08,7,3
2022-10-09,3,3
2022-10-10,14,9
2022-10-11,5,12
2022-10-12,2,9
2022-10-13,3,2
2022-10-14,12,4
2022-10-15,12,2
2022-10-16,6,4
2022-10-17,9,1
2022-10-18,8,5
2022-10-19,31,5
2022-10-20,15,5
2022-10-21,4,3
2022-10-22,10,3
2022-10-23,9,7
2022-10-24,10,7
2022-10-25,13,10
2022-10-26,3,8
2022-10-27,7,3
2022-10-28,4,7
2022-10-29,1,2
2022-10-30,1,0
2022-10-31,8,7
2022-11-01,12,4
2022-11-02,9,6
2022-11-03,13,5
2022-11-04,17,10
2022-11-05,13,3
2022-11-06,6,5
2022-11-07,19,11
2022-11-08,11,7
2022-11-09,12,8
2022-11-10,31,13
2022-11-11,26,4
2022-11-12,15,5
2022-11-13,5,9
2022-11-14,9,6
2022-11-15,12,10
2022-11-16,11,11
2022-11-17,13,5
2022-11-18,21,3
2022-11-19,9,7
2022-11-20,8,2
2022-11-21,2,6
2022-11-22,13,2
2022-11-23,37,7
2022-11-24,23,1
2022-11-25,31,14
2022-11-26,25,8
2022-11-27,5,4
2022-11-28,14,5
2022-11-29,16,8
2022-11-30,27,17
2022-12-01,29,4
2022-12-02,19,12
2022-12-03,23,4
2022-12-04,8,6
2022-12-05,33,6
2022-12-06,19,11
2022-12-07,44,8
2022-12-08,44,8
2022-12-09,36,7
2022-12-10,18,8
2022-12-11,24,3
2022-12-12,52,20
2022-12-13,52,15
2022-12-14,30,14
2022-12-15,59,26
2022-12-16,45,14
2022-12-17,33,15
2022-12-18,19,15
2022-12-19,37,16
2022-12-20,39,21
2022-12-21,45,11
2022-12-22,60,11
2022-12-23,37,8
2022-12-24,30,15
2022-12-25,3,2
2022-12-26,5,14
2022-12-27,17,9
2022-12-28,22,3
2022-12-29,19,11
2022-12-30,13,9
2022-12-31,14,8
2023-01-01,12,7
2023-01-02,28,7
2023-01-03,25,11
2023-01-04,22,18
2023-01-05,24,9
2023-01-06,29,14
2023-01-07,26,7
2023-01-08,17,13
2023-01-09,30,15
2023-01-10,29,16
2023-01-11,46,12
2023-01-12,31,11
2023-01-13,15,14
2023-01-14,14,8
2023-01-15,16,5
2023-01-16,20,14
2023-01-17,37,10
2023-01-18,37,14
2023-01-19,28,7
2023-01-20,10,12
2023-01-21,15,4
2023-01-22,5,2
2023-01-23,12,10
2023-01-24,9,3
2023-01-25,19,8
2023-01-26,11,7
2023-01-27,14,10
2023-01-28,8,9
2023-01-29,8,3
2023-01-30,24,10
2023-01-31,38,17
2023-02-01,45,20
2023-02-02,27,19
2023-02-03,14,10
2023-02-04,9,5
2023-02-05,13,2
2023-02-06,16,11
2023-02-07,16,6
2023-02-08,6,16
2023-02-09,8,12
2023-02-10,10,13
2023-02-11,8,2
2023-02-12,4,2
2023-02-13,6,6
2023-02-14,8,9
2023-02-15,15,1
2023-02-16,16,10
2023-02-17,20,12
2023-02-18,5,2
2023-02-19,11,1
2023-02-20,15,6
