x_variable,y_variable,pvalue
L3.NEGATIVE_Left-wing,NEGATIVE_Left-wing,2.851581318259553e-15
L3.NEGATIVE_Right-wing,NEGATIVE_Left-wing,0.03595290123527886
L3.NEGATIVE_Conservative,NEGATIVE_Left-wing,0.01853848386362351
L4.NEGATIVE_Left-wing,NEGATIVE_Left-wing,1.3315197897248799e-13
L4.NEGATIVE_Right-wing,NEGATIVE_Left-wing,0.00020404760578586088
L4.NEGATIVE_Conservative,NEGATIVE_Left-wing,0.00595954605426712
L5.NEGATIVE_Left-wing,NEGATIVE_Left-wing,2.2991964299741177e-08
L5.NEGATIVE_Right-wing,NEGATIVE_Left-wing,9.733429213105581e-05
L5.NEGATIVE_Conservative,NEGATIVE_Left-wing,0.005778486525350514
L5.POSITIVE_Conservative,NEGATIVE_Left-wing,0.012147291999893941
L5.POSITIVE_Labour,NEGATIVE_Left-wing,0.04215054178892577
L6.NEGATIVE_Left-wing,NEGATIVE_Left-wing,1.3062490138430716e-08
L6.NEGATIVE_Right-wing,NEGATIVE_Left-wing,0.00031442036127776794
L6.POSITIVE_Centre,NEGATIVE_Left-wing,0.04699983204723989
L6.POSITIVE_Conservative,NEGATIVE_Left-wing,0.038700251604619894
L7.NEGATIVE_Left-wing,NEGATIVE_Left-wing,0.0006032158943404782
L7.NEGATIVE_Right-wing,NEGATIVE_Left-wing,0.0024757896540524072
L7.NEGATIVE_Centre_parties,NEGATIVE_Left-wing,0.003638078778797664
L7.NEGATIVE_Conservative,NEGATIVE_Left-wing,0.046888556520958934
L7.NEGATIVE_Labour,NEGATIVE_Left-wing,0.012965026112169806
L7.POSITIVE_Conservative,NEGATIVE_Left-wing,0.01561666787912969
L1.NEGATIVE_Centre,NEGATIVE_Right-wing,4.088267703215859e-08
L1.NEGATIVE_Left-wing,NEGATIVE_Right-wing,0.003730165941552076
L1.NEGATIVE_Right-wing,NEGATIVE_Right-wing,1.9084332351445243e-47
L1.POSITIVE_Left-wing,NEGATIVE_Right-wing,0.042336803757382996
L2.NEGATIVE_Centre,NEGATIVE_Right-wing,0.0016204039693200117
L2.NEGATIVE_Left-wing,NEGATIVE_Right-wing,0.000493758623877199
L2.NEGATIVE_Right-wing,NEGATIVE_Right-wing,2.983897536217285e-16
L2.POSITIVE_Centre_parties,NEGATIVE_Right-wing,0.033147735589792185
L3.NEGATIVE_Centre,NEGATIVE_Right-wing,0.011264688361152624
L3.NEGATIVE_Right-wing,NEGATIVE_Right-wing,9.686619519987592e-08
L4.NEGATIVE_Right-wing,NEGATIVE_Right-wing,1.6118667827265412e-05
L4.NEGATIVE_Conservative,NEGATIVE_Right-wing,0.04988855645436608
L5.NEGATIVE_Right-wing,NEGATIVE_Right-wing,0.0007182062416381446
L5.NEGATIVE_Conservative,NEGATIVE_Right-wing,0.026861893439153146
L6.NEGATIVE_Right-wing,NEGATIVE_Right-wing,0.005570531672671171
L7.NEGATIVE_Left-wing,NEGATIVE_Right-wing,0.03926583143923869
L7.POSITIVE_Right-wing,NEGATIVE_Right-wing,0.042085961972058064
L1.NEGATIVE_Centre,POSITIVE_Centre,0.006972273082295973
L1.POSITIVE_Centre,POSITIVE_Centre,1.4367186859653557e-30
L1.POSITIVE_Conservative,POSITIVE_Centre,0.002063711469069904
L2.POSITIVE_Centre,POSITIVE_Centre,2.405095236782116e-13
L3.POSITIVE_Centre,POSITIVE_Centre,5.183019023707691e-07
L3.POSITIVE_Labour,POSITIVE_Centre,0.04739626846624221
L4.POSITIVE_Centre,POSITIVE_Centre,8.515644651586518e-06
L5.POSITIVE_Centre,POSITIVE_Centre,0.01708278626102662
L5.POSITIVE_Labour,POSITIVE_Centre,0.03462829639689856
L6.POSITIVE_Conservative,POSITIVE_Centre,0.03666655190942208
L7.NEGATIVE_Centre_parties,POSITIVE_Centre,0.005260548892611905
L7.NEGATIVE_Labour,POSITIVE_Centre,0.02623511096292107
L1.NEGATIVE_Centre,POSITIVE_Left-wing,0.0448113496372061
L1.POSITIVE_Left-wing,POSITIVE_Left-wing,7.898985925768958e-57
L1.NEGATIVE_Labour,POSITIVE_Left-wing,0.04933279010474747
L2.POSITIVE_Left-wing,POSITIVE_Left-wing,1.8908720476750574e-24
L2.POSITIVE_Conservative,POSITIVE_Left-wing,0.019296919446178108
L3.NEGATIVE_Left-wing,POSITIVE_Left-wing,0.022068911646425923
L3.POSITIVE_Left-wing,POSITIVE_Left-wing,9.127471849449747e-14
L3.NEGATIVE_Conservative,POSITIVE_Left-wing,0.007910317293062248
L3.POSITIVE_Labour,POSITIVE_Left-wing,0.00337270689539709
L4.NEGATIVE_Centre,POSITIVE_Left-wing,0.03639082659271535
L4.POSITIVE_Left-wing,POSITIVE_Left-wing,6.871420904578158e-09
L4.NEGATIVE_Conservative,POSITIVE_Left-wing,0.021594130631816935
L4.NEGATIVE_Labour,POSITIVE_Left-wing,0.020647477391126694
L4.POSITIVE_Conservative,POSITIVE_Left-wing,0.02057905215187931
L4.POSITIVE_Labour,POSITIVE_Left-wing,0.0013266732023042543
L5.POSITIVE_Left-wing,POSITIVE_Left-wing,8.147812320520252e-06
L5.NEGATIVE_Conservative,POSITIVE_Left-wing,0.017281706530404298
L5.POSITIVE_Labour,POSITIVE_Left-wing,0.009955919441383847
L6.POSITIVE_Left-wing,POSITIVE_Left-wing,0.00045310572672062376
L6.NEGATIVE_Conservative,POSITIVE_Left-wing,0.04452320828249869
L6.NEGATIVE_Labour,POSITIVE_Left-wing,0.0056139970878245635
L6.POSITIVE_Conservative,POSITIVE_Left-wing,0.006227560802489512
L7.NEGATIVE_Centre_parties,POSITIVE_Left-wing,0.029296821432229003
L7.NEGATIVE_Labour,POSITIVE_Left-wing,0.0013803822870284068
L7.POSITIVE_Conservative,POSITIVE_Left-wing,0.02734519225974154
L7.POSITIVE_Labour,POSITIVE_Left-wing,0.01883977881908251
L1.POSITIVE_Right-wing,POSITIVE_Right-wing,3.050193620865966e-73
L1.NEGATIVE_Conservative,POSITIVE_Right-wing,0.01645424281550427
L1.POSITIVE_Conservative,POSITIVE_Right-wing,0.02200271480430054
L2.NEGATIVE_Centre,POSITIVE_Right-wing,0.0025851331893856073
L2.POSITIVE_Right-wing,POSITIVE_Right-wing,1.1632506965312123e-30
L2.NEGATIVE_Conservative,POSITIVE_Right-wing,0.022970656076419207
L3.POSITIVE_Centre,POSITIVE_Right-wing,0.03434495841678782
L3.POSITIVE_Right-wing,POSITIVE_Right-wing,4.199799357350874e-16
L3.NEGATIVE_Labour,POSITIVE_Right-wing,0.03819018809511816
L4.NEGATIVE_Right-wing,POSITIVE_Right-wing,0.0018336432705055956
L4.POSITIVE_Right-wing,POSITIVE_Right-wing,5.8709763862098065e-09
L4.NEGATIVE_Centre_parties,POSITIVE_Right-wing,0.043525378312187925
L4.NEGATIVE_Labour,POSITIVE_Right-wing,0.030064344885597307
L5.POSITIVE_Right-wing,POSITIVE_Right-wing,2.5326707130749795e-07
L5.NEGATIVE_Centre_parties,POSITIVE_Right-wing,0.017769545976671613
L5.NEGATIVE_Labour,POSITIVE_Right-wing,0.005770774387524919
L6.POSITIVE_Right-wing,POSITIVE_Right-wing,2.1105441212385617e-09
L6.NEGATIVE_Centre_parties,POSITIVE_Right-wing,0.010832919024726164
L6.NEGATIVE_Conservative,POSITIVE_Right-wing,0.001182989222477399
L6.NEGATIVE_Labour,POSITIVE_Right-wing,0.00175857418479704
L7.NEGATIVE_Left-wing,POSITIVE_Right-wing,0.03881640308214617
L7.NEGATIVE_Right-wing,POSITIVE_Right-wing,0.0017512158209375146
L7.POSITIVE_Centre,POSITIVE_Right-wing,0.03446730313621186
L7.NEGATIVE_Conservative,POSITIVE_Right-wing,0.0004700255323752549
L7.NEGATIVE_Labour,POSITIVE_Right-wing,0.03406372011138117
L1.NEGATIVE_Centre,NEGATIVE_Centre_parties,0.0371278796880366
L1.NEGATIVE_Left-wing,NEGATIVE_Centre_parties,0.005785360381270499
L1.NEGATIVE_Centre_parties,NEGATIVE_Centre_parties,2.594988623965981e-09
L1.NEGATIVE_Conservative,NEGATIVE_Centre_parties,0.024215535060927024
L2.NEGATIVE_Centre,NEGATIVE_Centre_parties,0.0003791764611016458
L2.POSITIVE_Right-wing,NEGATIVE_Centre_parties,0.0012558846970671127
L2.NEGATIVE_Centre_parties,NEGATIVE_Centre_parties,0.00015395176450704135
L3.NEGATIVE_Centre,NEGATIVE_Centre_parties,3.09384276878615e-06
L3.NEGATIVE_Right-wing,NEGATIVE_Centre_parties,0.035770958433651585
L3.POSITIVE_Right-wing,NEGATIVE_Centre_parties,0.028882302365588648
L3.NEGATIVE_Centre_parties,NEGATIVE_Centre_parties,0.001524811575481795
L3.NEGATIVE_Conservative,NEGATIVE_Centre_parties,0.018778863778790372
L4.NEGATIVE_Centre,NEGATIVE_Centre_parties,1.3248798164714437e-05
L4.NEGATIVE_Right-wing,NEGATIVE_Centre_parties,0.035825344808533874
L4.NEGATIVE_Centre_parties,NEGATIVE_Centre_parties,0.003978839849181915
L4.NEGATIVE_Conservative,NEGATIVE_Centre_parties,0.010253484171129817
L5.NEGATIVE_Centre,NEGATIVE_Centre_parties,0.0004329334427257431
L5.NEGATIVE_Right-wing,NEGATIVE_Centre_parties,0.00019388247181983034
L5.POSITIVE_Right-wing,NEGATIVE_Centre_parties,0.017058595448997755
L5.NEGATIVE_Centre_parties,NEGATIVE_Centre_parties,6.7224223185385716e-06
L5.NEGATIVE_Conservative,NEGATIVE_Centre_parties,0.003226607319202852
L5.NEGATIVE_Labour,NEGATIVE_Centre_parties,0.0007996319283719264
L5.POSITIVE_Conservative,NEGATIVE_Centre_parties,0.04461264408976116
L6.NEGATIVE_Centre,NEGATIVE_Centre_parties,2.7739502440961765e-07
L6.NEGATIVE_Right-wing,NEGATIVE_Centre_parties,0.007386307266872538
L6.NEGATIVE_Centre_parties,NEGATIVE_Centre_parties,0.03618098066577597
L1.NEGATIVE_Left-wing,NEGATIVE_Conservative,0.010232411726828672
L1.NEGATIVE_Centre_parties,NEGATIVE_Conservative,0.028423964119312056
L1.NEGATIVE_Conservative,NEGATIVE_Conservative,6.096963274469163e-16
L1.NEGATIVE_Labour,NEGATIVE_Conservative,0.04608059722703427
L1.POSITIVE_Conservative,NEGATIVE_Conservative,0.016477999630592013
L2.NEGATIVE_Conservative,NEGATIVE_Conservative,6.777008825927838e-08
L3.NEGATIVE_Centre,NEGATIVE_Conservative,0.01064312321962635
L3.NEGATIVE_Conservative,NEGATIVE_Conservative,5.046414379101956e-06
L4.NEGATIVE_Centre,NEGATIVE_Conservative,0.0025210076555613995
L4.NEGATIVE_Left-wing,NEGATIVE_Conservative,0.04785806273206249
L4.NEGATIVE_Right-wing,NEGATIVE_Conservative,0.0010488969589339946
L4.NEGATIVE_Conservative,NEGATIVE_Conservative,0.00022897315562282026
L5.NEGATIVE_Centre,NEGATIVE_Conservative,0.005761472230186086
L5.NEGATIVE_Left-wing,NEGATIVE_Conservative,0.022886981791169807
L5.NEGATIVE_Right-wing,NEGATIVE_Conservative,6.92618837087811e-05
L5.POSITIVE_Right-wing,NEGATIVE_Conservative,0.0016667692537388305
L5.NEGATIVE_Centre_parties,NEGATIVE_Conservative,0.02607712195601756
L5.POSITIVE_Labour,NEGATIVE_Conservative,0.021739876003709222
L6.NEGATIVE_Centre,NEGATIVE_Conservative,0.00038761296707832304
L6.NEGATIVE_Left-wing,NEGATIVE_Conservative,0.0061685396744658805
L6.NEGATIVE_Right-wing,NEGATIVE_Conservative,0.003241121038055066
L6.POSITIVE_Right-wing,NEGATIVE_Conservative,0.001944054203810523
L1.NEGATIVE_Left-wing,NEGATIVE_Labour,0.038191176374824484
L1.NEGATIVE_Labour,NEGATIVE_Labour,5.293555427378048e-06
L2.NEGATIVE_Centre,NEGATIVE_Labour,0.005516649696883457
L2.POSITIVE_Right-wing,NEGATIVE_Labour,0.020348825463574333
L2.NEGATIVE_Labour,NEGATIVE_Labour,0.011702863024072805
L3.NEGATIVE_Centre,NEGATIVE_Labour,3.916788759451357e-05
L3.NEGATIVE_Right-wing,NEGATIVE_Labour,0.004749045500433286
L4.NEGATIVE_Centre,NEGATIVE_Labour,3.947152309040074e-05
L4.NEGATIVE_Right-wing,NEGATIVE_Labour,0.0007339599046843573
L5.NEGATIVE_Centre,NEGATIVE_Labour,0.013999221461791351
L5.NEGATIVE_Right-wing,NEGATIVE_Labour,2.902768470809908e-06
L5.POSITIVE_Right-wing,NEGATIVE_Labour,0.007815535660261365
L5.NEGATIVE_Centre_parties,NEGATIVE_Labour,4.307647039811586e-05
L5.NEGATIVE_Labour,NEGATIVE_Labour,0.007973221555186665
L5.POSITIVE_Conservative,NEGATIVE_Labour,0.006528660044361474
L5.POSITIVE_Labour,NEGATIVE_Labour,0.021308132853528252
L6.NEGATIVE_Centre,NEGATIVE_Labour,4.993278810214902e-07
L6.NEGATIVE_Right-wing,NEGATIVE_Labour,0.0011902372191063132
L6.NEGATIVE_Centre_parties,NEGATIVE_Labour,0.049220410002950715
L7.POSITIVE_Right-wing,NEGATIVE_Labour,0.019772173013024037
L1.NEGATIVE_Centre,POSITIVE_Centre_parties,0.03952392840694351
L1.NEGATIVE_Conservative,POSITIVE_Centre_parties,0.00039787135212739934
L1.POSITIVE_Centre_parties,POSITIVE_Centre_parties,3.23656042982095e-18
L1.POSITIVE_Conservative,POSITIVE_Centre_parties,0.014346392247162344
L2.NEGATIVE_Centre,POSITIVE_Centre_parties,0.031372744200878565
L2.POSITIVE_Left-wing,POSITIVE_Centre_parties,0.04105706523710073
L2.POSITIVE_Right-wing,POSITIVE_Centre_parties,0.03298064393729831
L2.NEGATIVE_Conservative,POSITIVE_Centre_parties,0.008900343672062438
L2.POSITIVE_Centre_parties,POSITIVE_Centre_parties,2.7668313200615264e-08
L2.POSITIVE_Conservative,POSITIVE_Centre_parties,0.009604628104557629
L3.NEGATIVE_Centre,POSITIVE_Centre_parties,5.586301951530157e-05
L3.NEGATIVE_Right-wing,POSITIVE_Centre_parties,0.028943881482684116
L3.NEGATIVE_Conservative,POSITIVE_Centre_parties,0.0038914146711811126
L3.POSITIVE_Centre_parties,POSITIVE_Centre_parties,2.9015772438964458e-05
L4.NEGATIVE_Centre,POSITIVE_Centre_parties,0.0016558646033074758
L4.NEGATIVE_Right-wing,POSITIVE_Centre_parties,0.004365393466826902
L4.POSITIVE_Right-wing,POSITIVE_Centre_parties,0.030428183295371548
L4.NEGATIVE_Conservative,POSITIVE_Centre_parties,0.007238816249866735
L4.POSITIVE_Centre_parties,POSITIVE_Centre_parties,0.01769790937683558
L5.NEGATIVE_Centre,POSITIVE_Centre_parties,0.0008244765803243452
L5.NEGATIVE_Right-wing,POSITIVE_Centre_parties,0.0007302167565081736
L5.POSITIVE_Right-wing,POSITIVE_Centre_parties,0.005912467117767918
L5.NEGATIVE_Conservative,POSITIVE_Centre_parties,0.023998444778694093
L5.NEGATIVE_Labour,POSITIVE_Centre_parties,0.016242085465718845
L6.NEGATIVE_Centre,POSITIVE_Centre_parties,1.852253314105491e-05
L6.NEGATIVE_Right-wing,POSITIVE_Centre_parties,0.016395328344503603
L6.POSITIVE_Right-wing,POSITIVE_Centre_parties,0.005824178365324835
L6.NEGATIVE_Labour,POSITIVE_Centre_parties,0.018785211446349627
L6.POSITIVE_Labour,POSITIVE_Centre_parties,0.017269297090281917
L7.POSITIVE_Right-wing,POSITIVE_Centre_parties,0.04774853732843112
L7.NEGATIVE_Centre_parties,POSITIVE_Centre_parties,0.03844375350406259
L1.NEGATIVE_Centre_parties,POSITIVE_Conservative,0.03368317100778274
L1.NEGATIVE_Conservative,POSITIVE_Conservative,0.03724848710209807
L1.NEGATIVE_Labour,POSITIVE_Conservative,0.014008107029860113
L1.POSITIVE_Conservative,POSITIVE_Conservative,0.020693165335609543
L2.NEGATIVE_Centre,POSITIVE_Conservative,0.03795247664499904
L2.POSITIVE_Conservative,POSITIVE_Conservative,0.017449669747598002
L3.NEGATIVE_Centre,POSITIVE_Conservative,0.0006513685389060797
L3.NEGATIVE_Right-wing,POSITIVE_Conservative,0.0015395585086202634
L3.POSITIVE_Conservative,POSITIVE_Conservative,0.025015081680361494
L4.NEGATIVE_Centre,POSITIVE_Conservative,0.001227947312100401
L4.NEGATIVE_Left-wing,POSITIVE_Conservative,0.03683907857339187
L4.NEGATIVE_Right-wing,POSITIVE_Conservative,0.0001753753409395092
L4.POSITIVE_Conservative,POSITIVE_Conservative,0.007062400953336667
L5.NEGATIVE_Right-wing,POSITIVE_Conservative,7.775852029520375e-07
L5.POSITIVE_Right-wing,POSITIVE_Conservative,0.014665746277213558
L5.NEGATIVE_Centre_parties,POSITIVE_Conservative,1.3207236491122459e-05
L5.NEGATIVE_Labour,POSITIVE_Conservative,0.0002428083572573719
L5.POSITIVE_Conservative,POSITIVE_Conservative,4.396684659488532e-06
L5.POSITIVE_Labour,POSITIVE_Conservative,0.012889081013617324
L6.NEGATIVE_Centre,POSITIVE_Conservative,5.503756159493222e-05
L6.NEGATIVE_Right-wing,POSITIVE_Conservative,0.0003635363881033561
L6.POSITIVE_Right-wing,POSITIVE_Conservative,0.02151544300905907
L6.NEGATIVE_Centre_parties,POSITIVE_Conservative,0.00015840205540121455
L6.NEGATIVE_Labour,POSITIVE_Conservative,0.002480627304272607
L6.POSITIVE_Conservative,POSITIVE_Conservative,0.026151348721269937
L7.NEGATIVE_Right-wing,POSITIVE_Conservative,0.04810343362422373
L7.POSITIVE_Right-wing,POSITIVE_Conservative,0.030945700433455018
L1.NEGATIVE_Left-wing,POSITIVE_Labour,0.02404130597060939
L1.NEGATIVE_Conservative,POSITIVE_Labour,0.016198039665722464
L1.POSITIVE_Labour,POSITIVE_Labour,7.22853400540279e-11
L2.POSITIVE_Labour,POSITIVE_Labour,7.514781096868393e-05
L3.NEGATIVE_Centre,POSITIVE_Labour,0.0016843111811198155
L3.NEGATIVE_Conservative,POSITIVE_Labour,0.040779898323581594
L3.POSITIVE_Labour,POSITIVE_Labour,0.011299073253144462
L4.NEGATIVE_Centre,POSITIVE_Labour,0.005193994123111217
L4.NEGATIVE_Right-wing,POSITIVE_Labour,0.010713354654052758
L4.NEGATIVE_Conservative,POSITIVE_Labour,0.03800692778329116
L4.POSITIVE_Labour,POSITIVE_Labour,0.020525396358042153
L5.NEGATIVE_Centre,POSITIVE_Labour,0.015631360186108334
L5.NEGATIVE_Right-wing,POSITIVE_Labour,0.00017916909941608617
L5.POSITIVE_Right-wing,POSITIVE_Labour,0.03757428989881129
L5.NEGATIVE_Conservative,POSITIVE_Labour,0.015188602142427388
L6.NEGATIVE_Centre,POSITIVE_Labour,0.0022801814635065227
L6.NEGATIVE_Left-wing,POSITIVE_Labour,0.03018172078597674
L6.NEGATIVE_Right-wing,POSITIVE_Labour,0.014375015772393673
L6.POSITIVE_Right-wing,POSITIVE_Labour,0.005458520133154584
L6.POSITIVE_Labour,POSITIVE_Labour,0.005538989189075592
L7.POSITIVE_Right-wing,POSITIVE_Labour,0.018386425122167618
