published_date,newspaper_line,NEGATIVE,POSITIVE
2021-11-08,The Sun,0,0
2021-11-08,The Times and The Sunday Times,0,0
2021-11-09,Daily Mail and Mail on Sunday,0,0
2021-11-09,Daily Mirror,1,0
2021-11-09,Metro,1,0
2021-11-09,The Daily Telegraph,1,0
2021-11-09,The Guardian,1,0
2021-11-09,The Independent,0,0
2021-11-09,The Sun,2,1
2021-11-09,The Times and The Sunday Times,1,0
2021-11-10,Daily Mail and Mail on Sunday,0,0
2021-11-10,Daily Mirror,0,0
2021-11-10,Metro,3,0
2021-11-10,The Daily Telegraph,0,0
2021-11-10,The Guardian,1,1
2021-11-10,The Independent,0,1
2021-11-10,The Sun,1,0
2021-11-10,The Times and The Sunday Times,1,0
2021-11-11,Daily Mail and Mail on Sunday,0,1
2021-11-11,Daily Mirror,0,0
2021-11-11,Metro,0,0
2021-11-11,The Daily Telegraph,0,1
2021-11-11,The Guardian,1,0
2021-11-11,The Independent,0,0
2021-11-11,The Sun,0,0
2021-11-11,The Times and The Sunday Times,0,0
2021-11-12,Daily Mail and Mail on Sunday,0,0
2021-11-12,Daily Mirror,0,0
2021-11-12,Metro,1,0
2021-11-12,The Daily Telegraph,1,0
2021-11-12,The Guardian,1,0
2021-11-12,The Independent,1,0
2021-11-12,The Sun,2,0
2021-11-12,The Times and The Sunday Times,1,1
2021-11-13,Daily Mail and Mail on Sunday,0,0
2021-11-13,Daily Mirror,0,0
2021-11-13,Metro,0,0
2021-11-13,The Daily Telegraph,1,0
2021-11-13,The Guardian,0,0
2021-11-13,The Independent,0,0
2021-11-13,The Sun,0,0
2021-11-13,The Times and The Sunday Times,1,1
2021-11-14,Daily Mail and Mail on Sunday,0,0
2021-11-14,Daily Mirror,0,1
2021-11-14,Metro,0,0
2021-11-14,The Daily Telegraph,0,0
2021-11-14,The Guardian,1,0
2021-11-14,The Independent,0,0
2021-11-14,The Sun,0,1
2021-11-14,The Times and The Sunday Times,0,1
2021-11-15,Daily Mail and Mail on Sunday,0,0
2021-11-15,Daily Mirror,0,0
2021-11-15,Metro,0,0
2021-11-15,The Daily Telegraph,0,0
2021-11-15,The Guardian,0,0
2021-11-15,The Independent,0,0
2021-11-15,The Sun,1,0
2021-11-15,The Times and The Sunday Times,0,0
2021-11-16,Daily Mail and Mail on Sunday,0,0
2021-11-16,Daily Mirror,0,0
2021-11-16,Metro,1,0
2021-11-16,The Daily Telegraph,0,0
2021-11-16,The Guardian,2,2
2021-11-16,The Independent,0,0
2021-11-16,The Sun,0,0
2021-11-16,The Times and The Sunday Times,1,0
2021-11-17,Daily Mail and Mail on Sunday,0,0
2021-11-17,Daily Mirror,0,0
2021-11-17,Metro,0,0
2021-11-17,The Daily Telegraph,1,0
2021-11-17,The Guardian,1,0
2021-11-17,The Independent,0,0
2021-11-17,The Sun,0,0
2021-11-17,The Times and The Sunday Times,2,0
2021-11-18,Daily Mail and Mail on Sunday,0,0
2021-11-18,Daily Mirror,0,0
2021-11-18,Metro,0,0
2021-11-18,The Daily Telegraph,0,0
2021-11-18,The Guardian,0,0
2021-11-18,The Independent,0,1
2021-11-18,The Sun,1,0
2021-11-18,The Times and The Sunday Times,0,0
2021-11-19,Daily Mail and Mail on Sunday,0,1
2021-11-19,Daily Mirror,0,0
2021-11-19,Metro,0,0
2021-11-19,The Daily Telegraph,2,1
2021-11-19,The Guardian,0,0
2021-11-19,The Independent,0,0
2021-11-19,The Sun,0,0
2021-11-19,The Times and The Sunday Times,0,0
2021-11-20,Daily Mail and Mail on Sunday,0,0
2021-11-20,Daily Mirror,0,0
2021-11-20,Metro,0,0
2021-11-20,The Daily Telegraph,1,0
2021-11-20,The Guardian,0,0
2021-11-20,The Independent,0,0
2021-11-20,The Sun,0,0
2021-11-20,The Times and The Sunday Times,2,1
2021-11-21,Daily Mail and Mail on Sunday,0,0
2021-11-21,Daily Mirror,0,0
2021-11-21,Metro,0,0
2021-11-21,The Daily Telegraph,0,0
2021-11-21,The Guardian,0,0
2021-11-21,The Independent,0,0
2021-11-21,The Sun,0,0
2021-11-21,The Times and The Sunday Times,0,1
2021-11-22,Daily Mail and Mail on Sunday,0,0
2021-11-22,Daily Mirror,0,0
2021-11-22,Metro,2,0
2021-11-22,The Daily Telegraph,1,0
2021-11-22,The Guardian,1,1
2021-11-22,The Independent,0,0
2021-11-22,The Sun,1,0
2021-11-22,The Times and The Sunday Times,1,0
2021-11-23,Daily Mail and Mail on Sunday,0,0
2021-11-23,Daily Mirror,0,0
2021-11-23,Metro,0,0
2021-11-23,The Daily Telegraph,0,0
2021-11-23,The Guardian,0,1
2021-11-23,The Independent,1,0
2021-11-23,The Sun,0,0
2021-11-23,The Times and The Sunday Times,1,1
2021-11-24,Daily Mail and Mail on Sunday,0,0
2021-11-24,Daily Mirror,0,0
2021-11-24,Metro,0,0
2021-11-24,The Daily Telegraph,0,0
2021-11-24,The Guardian,0,0
2021-11-24,The Independent,0,0
2021-11-24,The Sun,0,0
2021-11-24,The Times and The Sunday Times,0,0
2021-11-25,Daily Mail and Mail on Sunday,0,0
2021-11-25,Daily Mirror,0,0
2021-11-25,Metro,0,0
2021-11-25,The Daily Telegraph,0,0
2021-11-25,The Guardian,2,1
2021-11-25,The Independent,0,0
2021-11-25,The Sun,0,0
2021-11-25,The Times and The Sunday Times,0,0
2021-11-26,Daily Mail and Mail on Sunday,0,0
2021-11-26,Daily Mirror,0,0
2021-11-26,Metro,0,0
2021-11-26,The Daily Telegraph,0,1
2021-11-26,The Guardian,0,0
2021-11-26,The Independent,0,0
2021-11-26,The Sun,0,0
2021-11-26,The Times and The Sunday Times,0,0
2021-11-27,Daily Mail and Mail on Sunday,0,0
2021-11-27,Daily Mirror,0,0
2021-11-27,Metro,0,0
2021-11-27,The Daily Telegraph,0,0
2021-11-27,The Guardian,1,1
2021-11-27,The Independent,0,2
2021-11-27,The Sun,0,0
2021-11-27,The Times and The Sunday Times,0,1
2021-11-28,Daily Mail and Mail on Sunday,0,0
2021-11-28,Daily Mirror,0,0
2021-11-28,Metro,0,0
2021-11-28,The Daily Telegraph,0,0
2021-11-28,The Guardian,0,0
2021-11-28,The Independent,0,0
2021-11-28,The Sun,0,0
2021-11-28,The Times and The Sunday Times,0,0
2021-11-29,Daily Mail and Mail on Sunday,0,0
2021-11-29,Daily Mirror,0,0
2021-11-29,Metro,0,0
2021-11-29,The Daily Telegraph,0,0
2021-11-29,The Guardian,0,1
2021-11-29,The Independent,0,0
2021-11-29,The Sun,0,0
2021-11-29,The Times and The Sunday Times,0,0
2021-11-30,Daily Mail and Mail on Sunday,0,0
2021-11-30,Daily Mirror,0,0
2021-11-30,Metro,0,0
2021-11-30,The Daily Telegraph,0,0
2021-11-30,The Guardian,1,0
2021-11-30,The Independent,0,0
2021-11-30,The Sun,0,0
2021-11-30,The Times and The Sunday Times,0,0
2021-12-01,Daily Mail and Mail on Sunday,0,0
2021-12-01,Daily Mirror,0,0
2021-12-01,Metro,0,0
2021-12-01,The Daily Telegraph,0,0
2021-12-01,The Guardian,2,1
2021-12-01,The Independent,1,0
2021-12-01,The Sun,0,0
2021-12-01,The Times and The Sunday Times,1,0
2021-12-02,Daily Mail and Mail on Sunday,0,1
2021-12-02,Daily Mirror,0,0
2021-12-02,Metro,1,0
2021-12-02,The Daily Telegraph,1,0
2021-12-02,The Guardian,1,1
2021-12-02,The Independent,0,1
2021-12-02,The Sun,0,0
2021-12-02,The Times and The Sunday Times,1,0
2021-12-03,Daily Mail and Mail on Sunday,0,0
2021-12-03,Daily Mirror,0,1
2021-12-03,Metro,1,0
2021-12-03,The Daily Telegraph,1,1
2021-12-03,The Guardian,0,0
2021-12-03,The Independent,0,0
2021-12-03,The Sun,0,0
2021-12-03,The Times and The Sunday Times,1,1
2021-12-04,Daily Mail and Mail on Sunday,0,1
2021-12-04,Daily Mirror,0,0
2021-12-04,Metro,0,0
2021-12-04,The Daily Telegraph,0,1
2021-12-04,The Guardian,1,0
2021-12-04,The Independent,1,0
2021-12-04,The Sun,1,0
2021-12-04,The Times and The Sunday Times,0,0
2021-12-05,Daily Mail and Mail on Sunday,0,0
2021-12-05,Daily Mirror,0,0
2021-12-05,Metro,0,0
2021-12-05,The Daily Telegraph,0,0
2021-12-05,The Guardian,0,0
2021-12-05,The Independent,0,0
2021-12-05,The Sun,0,0
2021-12-05,The Times and The Sunday Times,0,2
2021-12-06,Daily Mail and Mail on Sunday,0,0
2021-12-06,Daily Mirror,0,0
2021-12-06,Metro,0,0
2021-12-06,The Daily Telegraph,1,0
2021-12-06,The Guardian,1,1
2021-12-06,The Independent,0,0
2021-12-06,The Sun,2,0
2021-12-06,The Times and The Sunday Times,1,0
2021-12-07,Daily Mail and Mail on Sunday,0,1
2021-12-07,Daily Mirror,0,0
2021-12-07,Metro,0,0
2021-12-07,The Daily Telegraph,0,0
2021-12-07,The Guardian,0,0
2021-12-07,The Independent,0,1
2021-12-07,The Sun,1,0
2021-12-07,The Times and The Sunday Times,2,0
2021-12-08,Daily Mail and Mail on Sunday,0,0
2021-12-08,Daily Mirror,0,0
2021-12-08,Metro,0,0
2021-12-08,The Daily Telegraph,0,1
2021-12-08,The Guardian,1,0
2021-12-08,The Independent,0,0
2021-12-08,The Sun,0,0
2021-12-08,The Times and The Sunday Times,0,1
2021-12-09,Daily Mail and Mail on Sunday,0,0
2021-12-09,Daily Mirror,0,0
2021-12-09,Metro,0,0
2021-12-09,The Daily Telegraph,0,1
2021-12-09,The Guardian,0,0
2021-12-09,The Independent,0,1
2021-12-09,The Sun,0,0
2021-12-09,The Times and The Sunday Times,0,0
2021-12-10,Daily Mail and Mail on Sunday,0,0
2021-12-10,Daily Mirror,0,0
2021-12-10,Metro,0,0
2021-12-10,The Daily Telegraph,0,0
2021-12-10,The Guardian,2,0
2021-12-10,The Independent,0,0
2021-12-10,The Sun,0,0
2021-12-10,The Times and The Sunday Times,1,0
2021-12-11,Daily Mail and Mail on Sunday,0,0
2021-12-11,Daily Mirror,0,0
2021-12-11,Metro,0,0
2021-12-11,The Daily Telegraph,0,0
2021-12-11,The Guardian,0,0
2021-12-11,The Independent,0,1
2021-12-11,The Sun,0,0
2021-12-11,The Times and The Sunday Times,0,1
2021-12-12,Daily Mail and Mail on Sunday,0,0
2021-12-12,Daily Mirror,0,0
2021-12-12,Metro,0,0
2021-12-12,The Daily Telegraph,0,0
2021-12-12,The Guardian,0,0
2021-12-12,The Independent,0,0
2021-12-12,The Sun,0,0
2021-12-12,The Times and The Sunday Times,0,0
2021-12-13,Daily Mail and Mail on Sunday,0,0
2021-12-13,Daily Mirror,0,0
2021-12-13,Metro,0,0
2021-12-13,The Daily Telegraph,0,0
2021-12-13,The Guardian,0,0
2021-12-13,The Independent,0,0
2021-12-13,The Sun,0,1
2021-12-13,The Times and The Sunday Times,0,0
2021-12-14,Daily Mail and Mail on Sunday,0,0
2021-12-14,Daily Mirror,0,0
2021-12-14,Metro,0,0
2021-12-14,The Daily Telegraph,0,0
2021-12-14,The Guardian,0,0
2021-12-14,The Independent,1,0
2021-12-14,The Sun,0,0
2021-12-14,The Times and The Sunday Times,0,0
2021-12-15,Daily Mail and Mail on Sunday,1,0
2021-12-15,Daily Mirror,0,0
2021-12-15,Metro,0,0
2021-12-15,The Daily Telegraph,0,1
2021-12-15,The Guardian,1,0
2021-12-15,The Independent,0,0
2021-12-15,The Sun,0,0
2021-12-15,The Times and The Sunday Times,1,0
2021-12-16,Daily Mail and Mail on Sunday,0,0
2021-12-16,Daily Mirror,0,0
2021-12-16,Metro,0,0
2021-12-16,The Daily Telegraph,1,1
2021-12-16,The Guardian,0,0
2021-12-16,The Independent,0,0
2021-12-16,The Sun,1,0
2021-12-16,The Times and The Sunday Times,0,0
2021-12-17,Daily Mail and Mail on Sunday,0,0
2021-12-17,Daily Mirror,0,0
2021-12-17,Metro,0,0
2021-12-17,The Daily Telegraph,0,0
2021-12-17,The Guardian,6,1
2021-12-17,The Independent,0,0
2021-12-17,The Sun,0,0
2021-12-17,The Times and The Sunday Times,0,0
2021-12-18,Daily Mail and Mail on Sunday,0,0
2021-12-18,Daily Mirror,0,0
2021-12-18,Metro,0,0
2021-12-18,The Daily Telegraph,0,0
2021-12-18,The Guardian,1,0
2021-12-18,The Independent,0,0
2021-12-18,The Sun,0,0
2021-12-18,The Times and The Sunday Times,0,0
2021-12-19,Daily Mail and Mail on Sunday,0,0
2021-12-19,Daily Mirror,0,0
2021-12-19,Metro,0,0
2021-12-19,The Daily Telegraph,0,0
2021-12-19,The Guardian,0,0
2021-12-19,The Independent,0,0
2021-12-19,The Sun,0,0
2021-12-19,The Times and The Sunday Times,0,0
2021-12-20,Daily Mail and Mail on Sunday,0,0
2021-12-20,Daily Mirror,0,0
2021-12-20,Metro,0,0
2021-12-20,The Daily Telegraph,0,0
2021-12-20,The Guardian,0,1
2021-12-20,The Independent,0,0
2021-12-20,The Sun,0,1
2021-12-20,The Times and The Sunday Times,0,0
2021-12-21,Daily Mail and Mail on Sunday,0,0
2021-12-21,Daily Mirror,0,1
2021-12-21,Metro,0,0
2021-12-21,The Daily Telegraph,0,0
2021-12-21,The Guardian,0,0
2021-12-21,The Independent,2,0
2021-12-21,The Sun,0,0
2021-12-21,The Times and The Sunday Times,0,0
2021-12-22,Daily Mail and Mail on Sunday,0,0
2021-12-22,Daily Mirror,2,0
2021-12-22,Metro,0,0
2021-12-22,The Daily Telegraph,0,0
2021-12-22,The Guardian,0,1
2021-12-22,The Independent,0,0
2021-12-22,The Sun,0,0
2021-12-22,The Times and The Sunday Times,0,0
2021-12-23,Daily Mail and Mail on Sunday,1,0
2021-12-23,Daily Mirror,0,0
2021-12-23,Metro,0,0
2021-12-23,The Daily Telegraph,0,0
2021-12-23,The Guardian,0,1
2021-12-23,The Independent,0,0
2021-12-23,The Sun,0,0
2021-12-23,The Times and The Sunday Times,1,0
2021-12-24,Daily Mail and Mail on Sunday,0,0
2021-12-24,Daily Mirror,1,0
2021-12-24,Metro,0,0
2021-12-24,The Daily Telegraph,2,0
2021-12-24,The Guardian,1,1
2021-12-24,The Independent,0,0
2021-12-24,The Sun,0,0
2021-12-24,The Times and The Sunday Times,0,0
2021-12-25,Daily Mail and Mail on Sunday,0,0
2021-12-25,Daily Mirror,0,0
2021-12-25,Metro,0,0
2021-12-25,The Daily Telegraph,0,0
2021-12-25,The Guardian,0,0
2021-12-25,The Independent,0,0
2021-12-25,The Sun,0,0
2021-12-25,The Times and The Sunday Times,0,0
2021-12-26,Daily Mail and Mail on Sunday,0,0
2021-12-26,Daily Mirror,0,0
2021-12-26,Metro,0,0
2021-12-26,The Daily Telegraph,0,0
2021-12-26,The Guardian,0,0
2021-12-26,The Independent,0,0
2021-12-26,The Sun,0,0
2021-12-26,The Times and The Sunday Times,0,0
2021-12-27,Daily Mail and Mail on Sunday,0,0
2021-12-27,Daily Mirror,0,0
2021-12-27,Metro,0,0
2021-12-27,The Daily Telegraph,0,1
2021-12-27,The Guardian,0,0
2021-12-27,The Independent,0,0
2021-12-27,The Sun,0,0
2021-12-27,The Times and The Sunday Times,0,0
2021-12-28,Daily Mail and Mail on Sunday,0,0
2021-12-28,Daily Mirror,1,0
2021-12-28,Metro,0,0
2021-12-28,The Daily Telegraph,1,0
2021-12-28,The Guardian,0,0
2021-12-28,The Independent,0,0
2021-12-28,The Sun,0,0
2021-12-28,The Times and The Sunday Times,0,0
2021-12-29,Daily Mail and Mail on Sunday,0,0
2021-12-29,Daily Mirror,0,0
2021-12-29,Metro,0,0
2021-12-29,The Daily Telegraph,0,0
2021-12-29,The Guardian,0,0
2021-12-29,The Independent,0,0
2021-12-29,The Sun,0,0
2021-12-29,The Times and The Sunday Times,1,0
2021-12-30,Daily Mail and Mail on Sunday,0,0
2021-12-30,Daily Mirror,0,0
2021-12-30,Metro,0,0
2021-12-30,The Daily Telegraph,0,1
2021-12-30,The Guardian,1,0
2021-12-30,The Independent,0,0
2021-12-30,The Sun,2,0
2021-12-30,The Times and The Sunday Times,0,0
2021-12-31,Daily Mail and Mail on Sunday,0,0
2021-12-31,Daily Mirror,0,0
2021-12-31,Metro,0,0
2021-12-31,The Daily Telegraph,0,0
2021-12-31,The Guardian,0,2
2021-12-31,The Independent,0,0
2021-12-31,The Sun,2,0
2021-12-31,The Times and The Sunday Times,0,1
2022-01-01,Daily Mail and Mail on Sunday,0,0
2022-01-01,Daily Mirror,0,0
2022-01-01,Metro,0,0
2022-01-01,The Daily Telegraph,0,0
2022-01-01,The Guardian,0,0
2022-01-01,The Independent,0,0
2022-01-01,The Sun,1,0
2022-01-01,The Times and The Sunday Times,0,0
2022-01-02,Daily Mail and Mail on Sunday,0,0
2022-01-02,Daily Mirror,0,0
2022-01-02,Metro,0,0
2022-01-02,The Daily Telegraph,0,0
2022-01-02,The Guardian,0,0
2022-01-02,The Independent,0,0
2022-01-02,The Sun,0,0
2022-01-02,The Times and The Sunday Times,0,0
2022-01-03,Daily Mail and Mail on Sunday,0,0
2022-01-03,Daily Mirror,0,0
2022-01-03,Metro,0,0
2022-01-03,The Daily Telegraph,0,1
2022-01-03,The Guardian,0,0
2022-01-03,The Independent,0,0
2022-01-03,The Sun,0,0
2022-01-03,The Times and The Sunday Times,0,0
2022-01-04,Daily Mail and Mail on Sunday,0,0
2022-01-04,Daily Mirror,0,0
2022-01-04,Metro,0,0
2022-01-04,The Daily Telegraph,0,0
2022-01-04,The Guardian,0,0
2022-01-04,The Independent,0,0
2022-01-04,The Sun,0,0
2022-01-04,The Times and The Sunday Times,0,0
2022-01-05,Daily Mail and Mail on Sunday,0,0
2022-01-05,Daily Mirror,0,0
2022-01-05,Metro,0,0
2022-01-05,The Daily Telegraph,0,0
2022-01-05,The Guardian,2,0
2022-01-05,The Independent,0,0
2022-01-05,The Sun,0,0
2022-01-05,The Times and The Sunday Times,0,0
2022-01-06,Daily Mail and Mail on Sunday,0,0
2022-01-06,Daily Mirror,1,0
2022-01-06,Metro,0,0
2022-01-06,The Daily Telegraph,1,0
2022-01-06,The Guardian,0,0
2022-01-06,The Independent,0,0
2022-01-06,The Sun,1,0
2022-01-06,The Times and The Sunday Times,0,1
2022-01-07,Daily Mail and Mail on Sunday,0,0
2022-01-07,Daily Mirror,0,0
2022-01-07,Metro,1,0
2022-01-07,The Daily Telegraph,0,0
2022-01-07,The Guardian,1,1
2022-01-07,The Independent,0,0
2022-01-07,The Sun,0,0
2022-01-07,The Times and The Sunday Times,0,1
2022-01-08,Daily Mail and Mail on Sunday,0,0
2022-01-08,Daily Mirror,0,0
2022-01-08,Metro,0,0
2022-01-08,The Daily Telegraph,0,0
2022-01-08,The Guardian,1,0
2022-01-08,The Independent,0,0
2022-01-08,The Sun,0,0
2022-01-08,The Times and The Sunday Times,0,0
2022-01-09,Daily Mail and Mail on Sunday,1,0
2022-01-09,Daily Mirror,0,0
2022-01-09,Metro,0,0
2022-01-09,The Daily Telegraph,0,0
2022-01-09,The Guardian,0,1
2022-01-09,The Independent,0,0
2022-01-09,The Sun,0,0
2022-01-09,The Times and The Sunday Times,0,1
2022-01-10,Daily Mail and Mail on Sunday,0,0
2022-01-10,Daily Mirror,0,0
2022-01-10,Metro,0,0
2022-01-10,The Daily Telegraph,0,0
2022-01-10,The Guardian,0,0
2022-01-10,The Independent,0,0
2022-01-10,The Sun,0,0
2022-01-10,The Times and The Sunday Times,0,0
2022-01-11,Daily Mail and Mail on Sunday,0,0
2022-01-11,Daily Mirror,0,0
2022-01-11,Metro,0,0
2022-01-11,The Daily Telegraph,1,0
2022-01-11,The Guardian,0,0
2022-01-11,The Independent,0,0
2022-01-11,The Sun,0,0
2022-01-11,The Times and The Sunday Times,0,0
2022-01-12,Daily Mail and Mail on Sunday,0,0
2022-01-12,Daily Mirror,0,0
2022-01-12,Metro,0,0
2022-01-12,The Daily Telegraph,0,0
2022-01-12,The Guardian,1,1
2022-01-12,The Independent,0,0
2022-01-12,The Sun,0,0
2022-01-12,The Times and The Sunday Times,0,0
2022-01-13,Daily Mail and Mail on Sunday,0,0
2022-01-13,Daily Mirror,0,0
2022-01-13,Metro,0,0
2022-01-13,The Daily Telegraph,0,0
2022-01-13,The Guardian,1,0
2022-01-13,The Independent,0,0
2022-01-13,The Sun,0,0
2022-01-13,The Times and The Sunday Times,0,0
2022-01-14,Daily Mail and Mail on Sunday,0,0
2022-01-14,Daily Mirror,0,0
2022-01-14,Metro,0,0
2022-01-14,The Daily Telegraph,0,0
2022-01-14,The Guardian,0,1
2022-01-14,The Independent,0,0
2022-01-14,The Sun,0,0
2022-01-14,The Times and The Sunday Times,0,0
2022-01-15,Daily Mail and Mail on Sunday,0,0
2022-01-15,Daily Mirror,0,0
2022-01-15,Metro,0,0
2022-01-15,The Daily Telegraph,0,0
2022-01-15,The Guardian,1,0
2022-01-15,The Independent,0,0
2022-01-15,The Sun,0,0
2022-01-15,The Times and The Sunday Times,0,0
2022-01-16,Daily Mail and Mail on Sunday,1,0
2022-01-16,Daily Mirror,0,0
2022-01-16,Metro,0,0
2022-01-16,The Daily Telegraph,0,0
2022-01-16,The Guardian,0,0
2022-01-16,The Independent,0,0
2022-01-16,The Sun,0,0
2022-01-16,The Times and The Sunday Times,0,0
2022-01-17,Daily Mail and Mail on Sunday,0,0
2022-01-17,Daily Mirror,0,0
2022-01-17,Metro,0,0
2022-01-17,The Daily Telegraph,0,0
2022-01-17,The Guardian,1,0
2022-01-17,The Independent,0,0
2022-01-17,The Sun,0,0
2022-01-17,The Times and The Sunday Times,0,0
2022-01-18,Daily Mail and Mail on Sunday,0,0
2022-01-18,Daily Mirror,0,0
2022-01-18,Metro,0,0
2022-01-18,The Daily Telegraph,2,0
2022-01-18,The Guardian,1,0
2022-01-18,The Independent,0,0
2022-01-18,The Sun,0,0
2022-01-18,The Times and The Sunday Times,0,0
2022-01-19,Daily Mail and Mail on Sunday,0,0
2022-01-19,Daily Mirror,0,0
2022-01-19,Metro,0,0
2022-01-19,The Daily Telegraph,0,0
2022-01-19,The Guardian,1,1
2022-01-19,The Independent,0,0
2022-01-19,The Sun,0,0
2022-01-19,The Times and The Sunday Times,0,0
2022-01-20,Daily Mail and Mail on Sunday,0,1
2022-01-20,Daily Mirror,0,0
2022-01-20,Metro,0,0
2022-01-20,The Daily Telegraph,0,0
2022-01-20,The Guardian,1,0
2022-01-20,The Independent,0,0
2022-01-20,The Sun,0,0
2022-01-20,The Times and The Sunday Times,0,0
2022-01-21,Daily Mail and Mail on Sunday,0,0
2022-01-21,Daily Mirror,0,0
2022-01-21,Metro,0,0
2022-01-21,The Daily Telegraph,0,0
2022-01-21,The Guardian,0,1
2022-01-21,The Independent,0,0
2022-01-21,The Sun,0,0
2022-01-21,The Times and The Sunday Times,0,0
2022-01-22,Daily Mail and Mail on Sunday,0,0
2022-01-22,Daily Mirror,0,0
2022-01-22,Metro,0,0
2022-01-22,The Daily Telegraph,0,0
2022-01-22,The Guardian,0,0
2022-01-22,The Independent,0,0
2022-01-22,The Sun,0,0
2022-01-22,The Times and The Sunday Times,1,1
2022-01-23,Daily Mail and Mail on Sunday,1,0
2022-01-23,Daily Mirror,0,0
2022-01-23,Metro,0,0
2022-01-23,The Daily Telegraph,0,0
2022-01-23,The Guardian,0,0
2022-01-23,The Independent,0,0
2022-01-23,The Sun,0,0
2022-01-23,The Times and The Sunday Times,0,0
2022-01-24,Daily Mail and Mail on Sunday,0,0
2022-01-24,Daily Mirror,0,0
2022-01-24,Metro,0,0
2022-01-24,The Daily Telegraph,1,0
2022-01-24,The Guardian,0,0
2022-01-24,The Independent,0,0
2022-01-24,The Sun,0,0
2022-01-24,The Times and The Sunday Times,0,0
2022-01-25,Daily Mail and Mail on Sunday,0,0
2022-01-25,Daily Mirror,0,0
2022-01-25,Metro,0,0
2022-01-25,The Daily Telegraph,1,0
2022-01-25,The Guardian,1,1
2022-01-25,The Independent,1,0
2022-01-25,The Sun,2,0
2022-01-25,The Times and The Sunday Times,2,0
2022-01-26,Daily Mail and Mail on Sunday,0,0
2022-01-26,Daily Mirror,2,0
2022-01-26,Metro,0,0
2022-01-26,The Daily Telegraph,0,1
2022-01-26,The Guardian,0,0
2022-01-26,The Independent,0,0
2022-01-26,The Sun,0,0
2022-01-26,The Times and The Sunday Times,2,1
2022-01-27,Daily Mail and Mail on Sunday,0,0
2022-01-27,Daily Mirror,0,0
2022-01-27,Metro,0,0
2022-01-27,The Daily Telegraph,0,0
2022-01-27,The Guardian,1,2
2022-01-27,The Independent,0,0
2022-01-27,The Sun,0,0
2022-01-27,The Times and The Sunday Times,0,0
2022-01-28,Daily Mail and Mail on Sunday,1,0
2022-01-28,Daily Mirror,0,0
2022-01-28,Metro,0,0
2022-01-28,The Daily Telegraph,0,0
2022-01-28,The Guardian,0,0
2022-01-28,The Independent,0,0
2022-01-28,The Sun,0,0
2022-01-28,The Times and The Sunday Times,1,0
2022-01-29,Daily Mail and Mail on Sunday,0,0
2022-01-29,Daily Mirror,0,0
2022-01-29,Metro,0,0
2022-01-29,The Daily Telegraph,0,1
2022-01-29,The Guardian,0,1
2022-01-29,The Independent,0,0
2022-01-29,The Sun,0,0
2022-01-29,The Times and The Sunday Times,0,0
2022-01-30,Daily Mail and Mail on Sunday,1,0
2022-01-30,Daily Mirror,0,0
2022-01-30,Metro,0,0
2022-01-30,The Daily Telegraph,0,0
